nupdates,total_timesteps,explained_variance,value_loss,fps,policy_entropy
25700,2056000,0.945450484752655,0.003003710648044944,1141,1.3213269710540771
25800,2064000,0.9644408226013184,0.0026079348754137754,1142,1.3101952075958252
25900,2072000,0.9444093108177185,0.00776038970798254,1143,1.3412667512893677
26000,2080000,0.9638658165931702,0.0027717272751033306,1143,1.2974812984466553
26100,2088000,0.9823391307145357,0.0022338745184242725,1144,1.3217357397079468
26200,2096000,0.9729168098419905,0.003765362547710538,1145,1.3145575523376465
26300,2104000,0.9351716116070747,0.009331097826361656,1145,1.3041965961456299
26400,2112000,0.9118612036108971,0.008088240399956703,1146,1.3420372009277344
26500,2120000,0.9760071691125631,0.003044863697141409,1146,1.3431719541549683
26600,2128000,0.9467098116874695,0.007039821706712246,1147,1.318865180015564
26700,2136000,0.9585704170167446,0.002449336461722851,1148,1.3186569213867188
26800,2144000,0.5840836465358734,0.021949227899312973,1148,1.3146162033081055
26900,2152000,0.9649376161396503,0.00472562899813056,1149,1.321556806564331
27000,2160000,0.9096319302916527,0.00960981659591198,1150,1.3204618692398071
27100,2168000,0.9426471590995789,0.006673798896372318,1150,1.3111292123794556
27200,2176000,0.9603492207825184,0.005718371365219355,1151,1.3201324939727783
27300,2184000,0.9126470014452934,0.013409063220024109,1151,1.3148962259292603
27400,2192000,0.8808218464255333,0.008546735160052776,1152,1.319008469581604
27500,2200000,0.9458563588559628,0.0080665722489357,1152,1.338973879814148
27600,2208000,0.7169559001922607,0.027223248034715652,1153,1.264906644821167
27700,2216000,0.6953970193862915,0.027893919497728348,1154,1.2574946880340576
27800,2224000,0.9104269295930862,0.00868428684771061,1154,1.2913897037506104
27900,2232000,0.8804653063416481,0.010074094869196415,1155,1.288833737373352
28000,2240000,0.8890531584620476,0.019304778426885605,1155,1.2751706838607788
28100,2248000,0.8836431205272675,0.015428774058818817,1156,1.3266512155532837
28200,2256000,0.9468886405229568,0.004022752866148949,1157,1.275984525680542
28300,2264000,0.8826882541179657,0.011550860479474068,1157,1.3110597133636475
28400,2272000,0.9368920400738716,0.007308060768991709,1158,1.2934297323226929
28500,2280000,0.9697005562484264,0.0028497907333076,1158,1.3009523153305054
28600,2288000,0.9840673580765724,0.0021772044710814953,1159,1.241499900817871
28700,2296000,0.8595889657735825,0.012740029022097588,1160,1.312248706817627
28800,2304000,0.6431882679462433,0.034859318286180496,1160,1.30555260181427
28900,2312000,0.9434136748313904,0.005982396192848682,1161,1.2943010330200195
29000,2320000,0.7542467564344406,0.018568355590105057,1161,1.3082834482192993
29100,2328000,0.9305011183023453,0.011346228420734406,1162,1.3368006944656372
29200,2336000,0.9572657980024815,0.006058237515389919,1162,1.3039026260375977
29300,2344000,0.8442237079143524,0.01876509003341198,1163,1.2721762657165527
29400,2352000,0.8427945822477341,0.018577951937913895,1164,1.256241798400879
29500,2360000,0.9435298666357994,0.011001018807291985,1164,1.2827950716018677
29600,2368000,0.9805312510579824,0.0020907146390527487,1165,1.3096554279327393
29700,2376000,0.8749841898679733,0.00925210677087307,1165,1.3024780750274658
29800,2384000,0.9185097813606262,0.014260354451835155,1166,1.30397629737854
29900,2392000,0.9135158061981201,0.008732831105589867,1166,1.2799718379974365
30000,2400000,0.9198979288339615,0.01027898583561182,1167,1.2995551824569702
30100,2408000,0.7673123180866241,0.015107410959899426,1167,1.2405967712402344
30200,2416000,0.9282874092459679,0.008613789454102516,1168,1.2570195198059082
30300,2424000,0.7874944806098938,0.016582194715738297,1168,1.284034013748169
30400,2432000,0.9417464807629585,0.007962122559547424,1169,1.2880160808563232
