total_timesteps,avg_norm_grads_f,loss,avg_norm_g,norm_grads_policy,avg_norm_k_dot_g,avg_norm_adj,loss_policy,loss_bc,fps,loss_q,loss_f,norm_grads_q,avg_norm_k,explained_variance,mean_episode_reward,mean_episode_length,norm_grads,entropy
2528000,0.9330901503562927,0.14249934256076813,0.949439525604248,0.4888307750225067,1.0054389238357544,0.027493664994835854,0.09218642115592957,,722,0.12139147520065308,0.09218642115592957,0.4932934641838074,2.547980546951294,0.2870990037918091,5.375,211.525,0.7575200200080872,1.0382813215255737
2560000,0.7654757499694824,0.0813235193490982,0.7925298810005188,0.2971300184726715,0.8149609565734863,0.03354154899716377,0.05856137350201607,,722,0.06534069031476974,0.05856137350201607,0.2936513125896454,2.1593644618988037,0.3430272340774536,7.0,269.15,0.449434757232666,0.9908198118209839
2592000,1.1635010242462158,0.019760044291615486,1.244746446609497,0.439872145652771,1.4942115545272827,0.11764390766620636,-0.03507056459784508,,723,0.12923097610473633,-0.03507056459784508,0.25946491956710815,2.5233469009399414,0.39813584089279175,5.55,207.95,0.4721822142601013,0.9784879684448242
2624000,0.8359771966934204,-0.029511703178286552,0.8835200071334839,0.5269335508346558,0.8723719716072083,0.06699903309345245,-0.06590200215578079,,724,0.09378089010715485,-0.06590200215578079,0.5749241709709167,2.058821201324463,0.4670182466506958,5.75,213.275,0.7925834059715271,1.050014615058899
2656000,0.7353640794754028,0.08667439967393875,0.7618328332901001,0.1817534863948822,0.7780103087425232,0.037831418216228485,0.0767708569765091,,724,0.03967643529176712,0.0767708569765091,0.22448581457138062,2.06937575340271,0.5516772866249084,5.5,212.025,0.31337448954582214,0.9934671521186829
2688000,0.9960513710975647,0.1954815536737442,1.0032520294189453,0.33956003189086914,1.06043541431427,0.008491085842251778,0.16473230719566345,,725,0.08119494467973709,0.16473230719566345,0.46688535809516907,2.113159418106079,0.31775808334350586,6.4,242.45,0.5407371520996094,0.9848224520683289
2720000,1.1812442541122437,0.0631927102804184,1.2319462299346924,0.49898791313171387,1.3588345050811768,0.08330502361059189,0.005129617638885975,,725,0.13601920008659363,0.005129617638885975,0.19647948443889618,2.3790974617004395,0.3552117943763733,6.75,252.325,0.5465319156646729,0.994650661945343
2752000,1.1958528757095337,0.0762573778629303,1.250035047531128,0.37847834825515747,1.314091444015503,0.08039844036102295,0.01116027869284153,,726,0.15147677063941956,0.01116027869284153,0.19887642562389374,2.0057880878448486,0.368293821811676,6.325,233.45,0.3994770646095276,1.0641285181045532
2784000,1.4192252159118652,-0.2033168077468872,1.5545369386672974,0.4186771810054779,1.657378911972046,0.20490798354148865,-0.3031638562679291,,726,0.21984580159187317,-0.3031638562679291,0.7148067951202393,2.2204108238220215,0.4081254005432129,6.45,235.45,0.843552827835083,1.007584810256958
2816000,0.9964960813522339,0.07969832420349121,1.0309832096099854,0.38154682517051697,1.240077018737793,0.06185474991798401,0.05719275400042534,,727,0.06516075879335403,0.05719275400042534,0.2285878211259842,2.398956060409546,0.5458920001983643,6.7,238.325,0.40425291657447815,1.007481336593628
2848000,0.9479756355285645,-0.014862705022096634,1.021876335144043,0.4502814710140228,1.1209442615509033,0.08111411333084106,-0.047105573117733,,728,0.08430813252925873,-0.047105573117733,0.20863595604896545,2.372667074203491,0.5275327563285828,7.525,273.5,0.44539767503738403,0.9911198616027832
