nupdates,explained_variance,value_loss,total_timesteps,policy_entropy,fps
77000,0.2984432578086853,0.19181832671165466,6160000,0.8690463304519653,1263
77100,0.8767992034554482,0.021209558472037315,6168000,0.9415000081062317,1263
77200,0.8436149060726166,0.019266119226813316,6176000,0.883997917175293,1263
77300,0.6130755841732025,0.047884486615657806,6184000,0.9184355735778809,1263
77400,0.7549081742763519,0.024423306807875633,6192000,0.8073799014091492,1263
77500,0.8093803077936172,0.010751768946647644,6200000,0.9073821902275085,1263
77600,0.8593174070119858,0.01667318120598793,6208000,1.0097945928573608,1264
77700,0.9092560857534409,0.020607242360711098,6216000,0.8899515867233276,1264
77800,0.5334281027317047,0.0069031366147100925,6224000,0.06625647097826004,1264
77900,0.6861694753170013,0.01529940776526928,6232000,0.8833905458450317,1264
78000,0.787242129445076,0.017172690480947495,6240000,0.9795958399772644,1264
78100,0.36884498596191406,0.017134569585323334,6248000,1.0607340335845947,1264
78200,0.7245350182056427,0.018656041473150253,6256000,0.9848779439926147,1264
78300,0.6390189528465271,0.008785084821283817,6264000,0.9140652418136597,1264
78400,0.8103621006011963,0.018042655661702156,6272000,0.8747369647026062,1265
78500,0.9395559094846249,0.012837087735533714,6280000,0.8774874806404114,1265
78600,0.5581322014331818,0.02070961520075798,6288000,0.9862756729125977,1265
78700,0.6047473251819611,0.05678273364901543,6296000,0.8737348318099976,1265
78800,0.8470997959375381,0.10262864828109741,6304000,0.9092916250228882,1265
78900,0.7562074065208435,0.011007068678736687,6312000,0.9574592709541321,1265
79000,0.8855071738362312,0.02956598624587059,6320000,0.811201274394989,1266
79100,0.8087417930364609,0.588416576385498,6328000,0.5415414571762085,1266
79200,0.6409963071346283,0.17758919298648834,6336000,0.9421185255050659,1266
79300,0.6118342578411102,0.04300263896584511,6344000,0.7876276969909668,1266
79400,0.5652551352977753,0.027484038844704628,6352000,0.7920749187469482,1266
79500,0.6770820021629333,0.0321974977850914,6360000,0.8143129348754883,1266
79600,0.8098553866147995,0.01672399789094925,6368000,0.9850956797599792,1266
79700,0.9772846158593893,0.018066249787807465,6376000,0.7328311204910278,1267
79800,0.920142412185669,0.007874547503888607,6384000,0.9034120440483093,1267
79900,0.9431233741343021,0.1399674117565155,6392000,0.782420814037323,1267
80000,0.9010995328426361,0.011208133772015572,6400000,0.8376693725585938,1267
80100,0.8106993734836578,0.0163407139480114,6408000,0.8372315168380737,1267
80200,0.9204337000846863,0.051634788513183594,6416000,0.8529253005981445,1267
80300,0.9338952749967575,0.014473319053649902,6424000,0.9302151799201965,1268
80400,0.718134880065918,0.1009334921836853,6432000,0.7951682209968567,1268
80500,0.647478848695755,0.13906213641166687,6440000,0.974755585193634,1268
80600,0.8394027799367905,0.012950395233929157,6448000,1.0128743648529053,1268
80700,0.8434915393590927,0.013288050889968872,6456000,1.0131466388702393,1268
80800,0.7345838248729706,0.02977120503783226,6464000,0.8840182423591614,1268
80900,0.877916619181633,0.016473324969410896,6472000,0.9044404029846191,1268
81000,0.9275962263345718,0.04048971086740494,6480000,0.9677029848098755,1269
81100,0.8650151491165161,0.01698978804051876,6488000,0.9579669833183289,1269
81200,0.9589210785925388,0.169732928276062,6496000,0.9119941592216492,1269
81300,0.8914845362305641,0.009212283417582512,6504000,0.839011013507843,1269
81400,0.9534718357026577,0.012035553343594074,6512000,0.8964251279830933,1269
81500,0.812966912984848,0.016517972573637962,6520000,0.9011926651000977,1269
81600,0.3535574674606323,0.28947290778160095,6528000,0.9580863118171692,1269
81700,0.831289678812027,0.007985743694007397,6536000,0.9311421513557434,1270
81800,0.5082839131355286,0.0921056792140007,6544000,0.7986846566200256,1270
81900,0.9087551981210709,0.011680210940539837,6552000,0.8810629844665527,1270
82000,-0.3396338224411011,1.4801356792449951,6560000,0.796643853187561,1270
82100,0.8929191529750824,0.015621066093444824,6568000,0.8160090446472168,1270
82200,0.9156540334224701,0.014773678965866566,6576000,0.8518698811531067,1270
82300,0.9635470323264599,0.06709626317024231,6584000,0.8245067596435547,1271
82400,0.9057134687900543,0.013441016897559166,6592000,0.9597927927970886,1271
82500,0.9374245330691338,0.028162449598312378,6600000,1.0234458446502686,1271
82600,0.951593741774559,0.021463606506586075,6608000,0.9618703722953796,1271
82700,0.9474336765706539,0.06023934483528137,6616000,0.9641069173812866,1271
82800,0.9282221794128418,0.02401660569012165,6624000,0.8517839312553406,1271
82900,0.9294108897447586,0.04907415062189102,6632000,0.8051746487617493,1271
83000,0.16874432563781738,0.3170000910758972,6640000,0.9066287279129028,1272
83100,0.896026536822319,0.025779571384191513,6648000,0.8583791851997375,1272
83200,0.8643954992294312,0.018025409430265427,6656000,0.9354850649833679,1272
83300,0.9502975828945637,0.018743788823485374,6664000,0.9097875356674194,1272
83400,0.9449636228382587,0.017691051587462425,6672000,0.9253390431404114,1272
83500,0.9426957927644253,0.03149016946554184,6680000,0.8423110246658325,1272
83600,0.7129324078559875,0.07048914581537247,6688000,0.9316364526748657,1272
83700,0.963834822177887,0.014619420282542706,6696000,0.8525780439376831,1273
83800,0.9272220134735107,0.026360180228948593,6704000,0.8686879277229309,1273
83900,0.4215508699417114,0.4975401759147644,6712000,0.8285399675369263,1273
84000,0.937688734382391,0.020782142877578735,6720000,0.8662545084953308,1273
84100,0.7797545790672302,0.03229635953903198,6728000,0.857711136341095,1273
84200,0.7553885579109192,0.07023082673549652,6736000,0.8551496267318726,1273
84300,0.44544273614883423,0.2504322826862335,6744000,0.9708282351493835,1273
84400,0.7349367737770081,0.03069859743118286,6752000,0.8599451184272766,1274
84500,0.8734841197729111,0.08606980741024017,6760000,0.8548053503036499,1274
84600,0.9533489644527435,0.06947476416826248,6768000,0.8148989677429199,1274
84700,0.924535796046257,0.017830858007073402,6776000,0.8571798205375671,1274
84800,0.7239170670509338,0.17516502737998962,6784000,0.8989735841751099,1274
84900,0.9382486008107662,0.012737056240439415,6792000,0.9575150609016418,1274
85000,0.9612667486071587,0.007125995121896267,6800000,0.8271371722221375,1274
85100,0.9424526244401932,0.12996846437454224,6808000,1.0051106214523315,1275
85200,0.4229445457458496,0.2504393756389618,6816000,0.837902843952179,1275
85300,0.9779741764068604,0.008463507518172264,6824000,0.8417674899101257,1275
85400,0.9044147804379463,0.02481715753674507,6832000,0.8440482020378113,1275
